遇到逆竟时，我们必须勇于面对，而且要愈挫愈勇，这样我们才能朝著成功之路前进。	遇到逆境时，我们必须勇于面对，而且要愈挫愈勇，这样我们才能朝著成功之路前进。
大自然也一样的，无法天天都是晴天，天天都很顺利，但生活，就是如此这般，有失才有得，只是每个人是如何去看侍的。	大自然也一样的，无法天天都是晴天，天天都很顺利，但生活，就是如此这般，有失才有得，只是每个人是如何去看待的。
刘墉在三岁过年时，全家陷入火海，把家烧得面目全飞、体无完肤。	刘墉在三岁过年时，全家陷入火海，把家烧得面目全非、体无完肤。
有些人是必须历经一场大风大浪才会改变，有的人一辈子都很好命，但是发生了想不道的事，也有可能一生都很辛苦，可是有一天他却过著福有的生活。	有些人是必需历经一场大风大浪才会改变，有的人一辈子都很好命，但是发生了想不到的事，也有可能一生都很辛苦，可是有一天他却过著富有的生活。
贝多芬是一位家喻户晓的音乐才子，但在成为第一位音乐家之前，经过了一场风雨澈底的改变了他的命运，也使他的耳朵渐渐的听不到了。	贝多芬是一位家喻户晓的音乐才子，但在成为第一位音乐家之前，经过了一场风雨彻底的改变了他的命运，也使他的耳朵渐渐的听不到了。
或许我们会在挫折中有令人不同凡想的成就呢！	或许我们会在挫折中有令人不同凡响的成就呢！
不经一番寒辙骨，焉得梅花扑鼻香！人生中愈多逆境反而愈好，克服了愈多，成长的当然也就愈多啊！	不经一番寒澈骨，焉得梅花扑鼻香！人生中愈多逆境反而愈好，克服了愈多，成长的当然也就愈多啊！
曾经有一本书，书中的主角是一位说书人，有一天他的声音不见了！那还得了。那是他赚钱养家最重要的东西耶！没了声音他能怎么辨？	曾经有一本书，书中的主角是一位说书人，有一天他的声音不见了！那还得了。那是他赚钱养家最重要的东西耶！没了声音他能怎么办？
谢坤山，在他被无情的高压电电到两手残废的时候，他的心灵完全受挫，可是之后他不断的坚持毅力，如令他还活得好好的。	谢坤山，在他被无情的高压电电到两手残废的时候，他的心灵完全受挫，可是之后他不断的坚持毅力，如今他还活得好好的。
在我们的生命当中，常会碰到一些挫折和失败，但在这失败和挫折的背后往往蕰藏著不可限量的美好。	在我们的生命当中，常会碰到一些挫折和失败，但在这失败和挫折的背后往往蕴藏著不可限量的美好。
在前往拥抱梦想的过程中，往往都是一条充满毒蛇猛兽，陷井重重的道路，当你一但经历和刻服了这些关卡时，就是你张开双手迎接成功的时候。	在前往拥抱梦想的过程中，往往都是一条充满毒蛇猛兽，陷阱重重的道路，当你一旦经历和克服了这些关卡时，就是你张开双手迎接成功的时候。
发明大王爱因生虽然失败的次数很多，但他坚定的毅力使他成功，并成为流芳百世的英雄，没有坚苦的奋斗怎么会有甘美的收获呢？	发明大王爱迪生虽然失败的次数很多，但他坚定的毅力使他成功，并成为流芳百世的英雄，没有坚苦的奋斗怎么会有甘美的收获呢？
先苦后甘的美好滋味，才应是人们必生去追寻的目标，没有努力的收获反而使你乏味，人生的顺境和逆境，好好的选则你将来要踏上的旅程吧。	先苦后甘的美好滋味，才应是人们毕生去追寻的目标，没有努力的收获反而使你乏味，人生的顺境和逆境，好好的选择你将来要踏上的旅程吧。
每一波的风雨，对人、事、物，都是一种磨练，如果你经不起那样的磨练，那你所感受到的就是失败与挫折。	每一波的风雨，对人、事、物，都是一种磨练，如果你禁不起那样的磨练，那你所感受到的就是失败与挫折。
